audio_source,audio_path,sampling_rate,transcript,toxicity,split,toxic_spans_text,BIO_Tag,start_sec,end_sec,duration,__row_id,pseudo_speaker_id,duration_recomputed
fosd,fosd_25146.wav,16000,"Nhìn kỹ , Hồng phát hiện kẻ trộm là anh Nam , người cùng thôn với mình .",0,train,[],[],,,6.096,0,SPEAKER_01985,6.096
vitosa,vitosa_train_2461.wav,16000,đúng dậy chúa giê su cũng là một dân chơi mỹ đen nữa ổng là mỹ đen á mà tui muốn cho bạn bè mỹ trắng tui biết chuyện này,1,train,[],[],,,8.7651875,1,,8.7651875
fosd,fosd_13648.wav,16000,bảy mươi bảy mươi mốt,0,train,[],[],,,2.232,2,SPEAKER_00323,2.232
fosd,fosd_3559.wav,16000,liên hệ phó giáo sư tiến sĩ tống kim thuần nhóm phòng các chất có hoạt tính,0,external_non_toxic,[],[],,,4.752,3,SPEAKER_00681,4.752
fosd,fosd_5819.wav,16000,vui lòng cho tôi xem những kiểu bạn có,0,external_non_toxic,[],[],,,2.376,4,SPEAKER_00180,2.376
fosd,fosd_20620.wav,16000,"Chúng tôi yêu nhau với tình đầu thánh thiện , thuần khiết !",0,train,[],[],,,4.536,5,SPEAKER_00639,4.536
fosd,fosd_14000.wav,16000,ở người bị hội chứng ăn khi ngủ phần não phải vẫn thức và sau đó là cả các dạng hoạt động thể chất,0,external_non_toxic,[],[],,,5.76,6,SPEAKER_01201,5.76
fosd,fosd_5403.wav,16000,ở một vùng cao,0,external_non_toxic,[],[],,,1.608,7,SPEAKER_04781,1.608
fosd,fosd_9804.wav,16000,họ sẽ trao cây gậy trách nhiệm cho lãnh đạo mới,0,train,[],[],,,3.456,8,SPEAKER_00203,3.456
fosd,fosd_143.wav,16000,có nên ưu tiên cho các hoạt động bí mật,0,external_non_toxic,[],[],,,2.256,9,SPEAKER_01029,2.256
retrieval,hVHuyezjsdg_34.wav,16000,,0,train,[],[],3291.426,3300.638,9.212,10,SPEAKER_00356,9.212
vitosa,vitosa_train_6741.wav,16000,mà cuối cùng ông gotalit bắn đéo chết đối phương mà để cho thằng nitro nó bắn chết ạ địt mẹ buồn cười vãi lồn đéo thể tin được tình huống vừa rồi,1,train,[],[],,,8.06475,11,,8.06475
vitosa,vitosa_train_524.wav,16000,kẻ quy diệt mồi hả đụ má có con gái ta ngồi nhậu chung ngồi ăn miệng chép chép chép chép chép từ đầu tới cuối chép đéo biết ngại là gì luôn nhìn mày giống con chó quá bảo ơi,1,train,[],[],,,10.7544375,12,,10.7544375
vitosa,vitosa_validation_1502.wav,16000,mày nghĩ lại đi biết cái đó rất khó để bắt được con khỉ rồi chịch nó nó không thể được,1,validation,[],[],,,7.798625,13,,7.798625
retrieval,xi4EXtTiBd4_20.wav,16000,,0,train,[],[],1906.178,1915.806,9.628,14,SPEAKER_04935,9.628
fosd,fosd_19422.wav,16000,điều gì thay đổi lớn nhất từ sự tăng trưởng của nền kinh tế trung quốc,0,train,[],[],,,4.344,15,SPEAKER_00335,4.344
vitosa,vitosa_validation_595.wav,16000,đếch mà đéo hiểu vì sao lại thế ok địt mẹ mày ok man,1,validation,[],[],,,5.5836875,16,,5.5836875
vitosa,vitosa_validation_1283.wav,16000,má sorry hồi nãy lúc mà nghe cái lồn má cái tự dưng cảm giác là nó kiểu tập trung vô cái đó quá anh em ơi,1,validation,[],[],,,9.31375,17,,9.31375
